A0A0A7EPL0	AT1G08910.1
A0A1P8ANU1	AT1G63615.1
A0A1P8ANV7	AT1G34630.1
A0A1P8ANX4	AT1G68340.2
A0A1P8ANZ1	AT1G48285.1
A0A1P8AP12	AT1G03325.1
A0A1P8AP31	AT1G80315.1
A0A1P8AP43	AT1G30290.2
A0A1P8AP45	AT1G50745.1
A0A1P8AP46	AT1G43815.2
A0A1P8AP52	AT1G29020.2
A0A1P8AP54	AT1G23995.1
A0A1P8AP59	AT1G54110.2
A0A1P8AP64	AT1G70720.2
A0A1P8AP82	AT1G07690.2
A0A1P8AP99	AT1G16650.3
A0A1P8APA8	AT1G30590.3
A0A1P8APC2	AT1G56105.1
A0A1P8APD3	AT1G35353.1
A0A1P8APD7	AT1G73350.5
A0A1P8APF4	AT1G07480.3
A0A1P8APH9	AT1G14190.2
A0A1P8API0	AT1G53035.2
A0A1P8APK4	AT1G03620.9
A0A1P8APK5	AT1G43605.2
A0A1P8APK6	AT1G44895.1
A0A1P8APL7	AT1G64795.1
A0A1P8APL9	AT1G20380.1
A0A1P8APM6	AT1G34822.1
A0A1P8APN6	AT1G13143.1
A0A1P8APP1	AT1G61050.2
A0A1P8APQ0	AT1G59520.4
A0A1P8APR3	AT1G28005.1
A0A1P8APR9	AT1G34317.1
A0A1P8APS1	AT1G31835.2
A0A1P8APT0	AT1G07902.1
A0A1P8APU3	AT1G72545.1
A0A1P8APU8	AT1G40086.1
A0A1P8APV4	AT1G24570.2
A0A1P8APV7	AT1G55865.1
A0A1P8APW5	AT1G32127.2
A0A1P8APX1	AT1G77800.3
A0A1P8APZ3	AT1G68325.1
A0A1P8AQ05	AT1G36922.2
A0A1P8AQ19	AT1G17065.1
A0A1P8AQ20	AT1G55335.1
A0A1P8AQ41	AT1G72755.1
A0A1P8AQ63	AT1G50820.2
A0A1P8AQ67	AT1G26255.3
A0A1P8AQ71	AT1G09890.3
A0A1P8AQ86	AT1G65349.1
A0A1P8AQ87	AT1G27610.3
A0A1P8AQ95	AT1G65486.3
A0A1P8AQ96	AT1G34855.1
A0A1P8AQA7	AT1G05783.1
A0A1P8AQA9	AT1G68723.1
A0A1P8AQC2	AT1G16945.1
A0A1P8AQC7	AT1G74035.1
A0A1P8AQE4	AT1G48310.2
A0A1P8AQG9	AT1G76780.3
A0A1P8AQJ5	AT1G56090.2
A0A1P8AQK1	AT1G15085.1
A0A1P8AQP2	AT1G47130.1
A0A1P8AQP4	AT1G16515.2
A0A1P8AQT5	AT1G52700.3
A0A1P8AQT9	AT1G13920.4
A0A1P8AQU8	AT1G04455.1
A0A1P8AQV3	AT1G55530.3
A0A1P8AQV4	AT1G75785.1
A0A1P8AQV8	AT1G58223.1
A0A1P8AR00	AT1G64455.1
A0A1P8AR29	AT1G73065.1
A0A1P8AR38	AT1G63530.4
A0A1P8AR40	AT1G18975.1
A0A1P8AR54	AT1G63295.2
A0A1P8AR58	AT1G48355.1
A0A1P8AR64	AT1G31255.1
A0A1P8ARB6	AT1G48725.1
A0A1P8ARE9	AT1G71480.3
A0A1P8ARG1	AT1G08300.2
A0A1P8ARH0	AT1G18773.4
A0A1P8ARH5	AT1G17285.2
A0A1P8ARI1	AT1G31095.1
A0A1P8ARI2	AT1G55915.3
A0A1P8ARL9	AT1G12615.1
A0A1P8ARM4	AT1G25277.2
A0A1P8ARP0	AT1G67040.2
A0A1P8ARQ1	AT1G35895.1
A0A1P8ARQ3	AT1G48700.4
A0A1P8ARQ4	AT1G62895.1
A0A1P8ARQ6	AT1G39070.1
A0A1P8ARS6	AT1G28765.2
A0A1P8ART1	AT1G75290.2
A0A1P8ART7	AT1G32575.1
A0A1P8ARU2	AT1G47845.1
A0A1P8AS03	AT1G55500.5
A0A1P8AS11	AT1G68877.1
A0A1P8AS44	AT1G03395.1
A0A1P8AS56	AT1G65425.1
A0A1P8AS86	AT1G18197.2
A0A1P8AS88	AT1G18193.1
A0A1P8ASA8	AT1G63960.2
A0A1P8ASE3	AT1G30545.2
A0A1P8ASE7	AT1G34049.1
A0A1P8ASF8	AT1G66870.2
A0A1P8ASG6	AT1G04105.1
A0A1P8ASI0	AT1G76170.7
A0A1P8ASI1	AT1G66460.3
A0A1P8ASK0	AT1G66465.2
A0A1P8ASM2	AT1G13825.1
A0A1P8ASM4	AT1G31555.1
A0A1P8ASM6	AT1G67420.4
A0A1P8ASN1	AT1G20923.1
A0A1P8ASP4	AT1G13350.3
A0A1P8ASQ0	AT1G56225.1
A0A1P8ASS6	AT1G36325.1
A0A1P8ASS7	AT1G50690.2
A0A1P8AST1	AT1G59470.1
A0A1P8AST2	AT1G72760.2
A0A1P8ASU7	AT1G68185.2
A0A1P8ASV6	AT1G62915.1
A0A1P8ASY1	AT1G08840.3
A0A1P8ASY5	AT1G10417.4
A0A1P8ASY7	AT1G64320.2
A0A1P8ASY8	AT1G55755.1
A0A1P8ASZ9	AT1G69540.2
A0A1P8AT12	AT1G13805.1
A0A1P8AT27	AT1G72860.2
A0A1P8AT86	AT1G80555.2
A0A1P8AT89	AT1G21050.2
A0A1P8AT95	AT1G16800.2
A0A1P8ATA8	AT1G49205.1
A0A1P8ATB1	AT1G18335.3
A0A1P8ATC0	AT1G36623.1
A0A1P8ATC3	AT1G36627.1
A0A1P8ATC7	AT1G21313.1
A0A1P8ATJ3	AT1G60670.5
A0A1P8ATJ8	AT1G60787.4
A0A1P8ATM2	AT1G14453.1
A0A1P8ATM6	AT1G64960.2
A0A1P8ATN7	AT1G50380.2
A0A1P8ATP0	AT1G75945.1
A0A1P8ATQ1	AT1G49225.1
A0A1P8ATR6	AT1G50730.3
A0A1P8ATR9	AT1G58190.3
A0A1P8ATU5	AT1G29435.1
A0A1P8ATX8	AT1G62515.1
A0A1P8AU04	AT1G29775.1
A0A1P8AU14	AT1G31243.1
A0A1P8AU29	AT1G05790.3
A0A1P8AU44	AT1G02067.1
A0A1P8AU61	AT1G22660.4
A0A1P8AU78	AT1G34827.1
A0A1P8AUA6	AT1G69085.1
A0A1P8AUF7	AT1G55673.1
A0A1P8AUG0	AT1G23985.1
A0A1P8AUG1	AT1G13880.2
A0A1P8AUJ0	AT1G03165.1
A0A1P8AUJ8	AT1G21150.2
A0A1P8AUK0	AT1G61565.1
A0A1P8AUK9	AT1G61562.1
A0A1P8AUL5	AT1G29730.2
A0A1P8AUL6	AT1G43825.1
A0A1P8AUM0	AT1G63206.2
A0A1P8AUN6	AT1G64253.1
A0A1P8AUP0	AT1G54930.2
A0A1P8AUR6	AT1G33945.1
A0A1P8AUT7	AT1G40090.1
A0A1P8AUU6	AT1G51300.2
A0A1P8AUV5	AT1G74385.1
A0A1P8AUV6	AT1G20570.3
A0A1P8AUV9	AT1G06045.1
A0A1P8AUX0	AT1G70335.1
A0A1P8AUY4	AT1G67120.2
A0A1P8AUY5	AT1G29535.1
A0A1P8AV14	AT1G24475.1
A0A1P8AV25	AT1G20720.2
A0A1P8AV46	AT1G09880.3
A0A1P8AV53	AT1G11070.4
A0A1P8AV59	AT1G02705.1
A0A1P8AV76	AT4G20720.1
A0A1P8AV88	AT1G48660.2
A0A1P8AV92	AT1G15790.3
A0A1P8AVB5	AT1G65165.1
A0A1P8AVD0	AT1G36005.1
A0A1P8AVE0	AT1G75860.2
A0A1P8AVE4	AT1G22980.2
A0A1P8AVE9	AT1G06720.2
A0A1P8AVH8	AT1G15540.3
A0A1P8AVI5	AT1G49510.3
A0A1P8AVJ4	AT1G79190.2
A0A1P8AVM4	AT1G36085.1
A0A1P8AVM6	AT1G67235.1
A0A1P8AVN1	AT1G69520.2
A0A1P8AVN5	AT1G55917.1
A0A1P8AVN7	AT1G66940.4
A0A1P8AVP6	AT1G54957.1
A0A1P8AVQ4	AT1G28265.1
A0A1P8AVQ6	AT1G51850.2
A0A1P8AVR2	AT1G74675.1
A0A1P8AVS2	AT1G72340.2
A0A1P8AVS4	AT1G54773.1
A0A1P8AVU4	AT1G54953.1
A0A1P8AVV5	AT1G55940.2
A0A1P8AVV8	AT1G55947.1
A0A1P8AW05	AT1G55945.1
A0A1P8AW30	AT1G59723.1
A0A1P8AW32	AT1G65050.2
A0A1P8AW47	AT1G29320.2
A0A1P8AW49	AT1G70475.1
A0A1P8AW53	AT1G80190.5
A0A1P8AW67	AT1G51870.2
A0A1P8AW69	AT1G11160.2
A0A1P8AW78	AT1G47695.1
A0A1P8AW81	AT1G69020.2
A0A1P8AW86	AT1G68862.2
A0A1P8AW87	AT1G16760.2
A0A1P8AW93	AT1G42615.1
A0A1P8AW98	AT1G45229.2
A0A1P8AWA7	AT1G24545.1
A0A1P8AWD0	AT1G76465.1
A0A1P8AWD1	AT1G04445.2
A0A1P8AWD2	AT1G27555.1
A0A1P8AWD6	AT1G69610.2
A0A1P8AWF3	AT1G77320.3
A0A1P8AWF5	AT1G63855.4
A0A1P8AWF9	AT1G05120.2
A0A1P8AWH6	AT1G54575.2
A0A1P8AWH8	AT1G58370.2
A0A1P8AWJ4	AT1G64584.1
A0A1P8AWJ7	AT1G53875.1
A0A1P8AWJ9	AT1G26225.1
A0A1P8AWK7	AT1G35215.1
A0A1P8AWP1	AT1G73170.3
A0A1P8AWR9	AT1G61080.5
A0A1P8AWS0	AT1G70430.3
A0A1P8AWS5	AT1G51830.2
A0A1P8AWW1	AT1G08645.1
A0A1P8AWX0	AT1G34015.1
A0A1P8AWX3	AT1G33590.2
A0A1P8AWZ4	AT1G26590.2
A0A1P8AWZ6	AT1G34010.2
A0A1P8AWZ7	AT1G02360.3
A0A1P8AX05	AT1G68820.4
A0A1P8AX06	AT2G16953.1
A0A1P8AX25	AT1G50950.2
A0A1P8AX45	AT2G34090.4
A0A1P8AX50	AT2G45500.5
A0A1P8AX52	AT2G13275.1
A0A1P8AX58	AT2G01045.1
A0A1P8AX67	AT2G35965.1
A0A1P8AX71	AT2G06565.1
A0A1P8AX72	AT2G30385.1
A0A1P8AX73	AT2G14775.1
A0A1P8AX78	AT2G31265.1
A0A1P8AX91	AT2G03780.1
A0A1P8AX98	AT2G26780.2
A0A1P8AXA3	AT2G13905.1
A0A1P8AXC3	AT2G16970.2
A0A1P8AXI7	AT2G13105.1
A0A1P8AXM6	AT2G12205.1
A0A1P8AXN5	AT2G13555.1
A0A1P8AXP5	AT2G14695.1
A0A1P8AXQ6	AT2G13550.2
A0A1P8AXQ8	AT2G19365.1
A0A1P8AXR2	AT2G03567.1
A0A1P8AXR6	AT2G39375.3
A0A1P8AXR7	AT2G40165.1
A0A1P8AXS1	AT2G47885.1
A0A1P8AXS2	AT2G02493.1
A0A1P8AXS6	AT2G41375.1
A0A1P8AXS8	AT2G02497.1
A0A1P8AXU1	AT2G11225.1
A0A1P8AXU9	AT2G37670.2
A0A1P8AXV5	AT2G02635.1
A0A1P8AXW3	AT2G46765.1
A0A1P8AXW5	AT2G41355.1
A0A1P8AXY6	AT2G13965.1
A0A1P8AXZ1	AT2G34317.1
A0A1P8AY04	AT2G39355.1
A0A1P8AY13	AT2G33685.1
A0A1P8AY32	AT2G11205.1
A0A1P8AY40	AT2G19660.2
A0A1P8AY68	AT2G02455.1
A0A1P8AY78	AT2G13985.1
A0A1P8AY88	AT2G18770.2
A0A1P8AY89	AT2G10615.1
A0A1P8AY90	AT2G01379.1
A0A1P8AY95	AT2G37805.1
A0A1P8AYB0	AT2G23985.21
A0A1P8AYB6	AT2G34020.2
A0A1P8AYD3	AT2G45405.1
A0A1P8AYD6	AT2G31432.2
A0A1P8AYE6	AT2G35555.1
A0A1P8AYF2	AT2G24980.3
A0A1P8AYI7	AT2G14395.1
A0A1P8AYJ0	AT2G35140.6
A0A1P8AYJ3	AT2G04137.1
A0A1P8AYN3	AT2G25215.1
A0A1P8AYP1	AT2G11815.1
A0A1P8AYP2	AT2G41515.1
A0A1P8AYR5	AT2G30730.2
A0A1P8AYT1	AT2G02410.6
A0A1P8AYU2	AT2G11035.1
A0A1P8AYU7	AT2G33350.5
A0A1P8AYV4	AT2G42065.1
A0A1P8AYX9	AT2G13845.1
A0A1P8AZ37	AT2G42725.1
A0A1P8AZ47	AT2G02695.1
A0A1P8AZ66	AT2G07625.1
A0A1P8AZ67	AT2G18025.1
A0A1P8AZ82	AT2G07627.1
A0A1P8AZ85	AT2G07621.1
A0A1P8AZA3	AT2G07628.1
A0A1P8AZA7	AT2G07626.1
A0A1P8AZA9	AT2G07623.1
A0A1P8AZD4	AT2G07629.1
A0A1P8AZD7	AT2G05105.1
A0A1P8AZE1	AT2G21195.4
A0A1P8AZH3	AT2G04062.1
A0A1P8AZJ4	AT2G38780.6
A0A1P8AZN4	AT2G47950.2
A0A1P8AZP3	AT2G10553.1
A0A1P8AZP5	AT2G10556.1
A0A1P8AZP7	AT2G07810.1
A0A1P8AZS0	AT2G07662.1
A0A1P8AZS2	AT2G24535.2
A0A1P8AZS3	AT2G07665.1
A0A1P8AZS4	AT2G25220.3
A0A1P8AZS9	AT2G07661.1
A0A1P8AZT2	AT2G24140.3
A0A1P8AZU2	AT2G29485.1
A0A1P8AZV8	AT2G22465.1
A0A1P8AZY1	AT2G41417.1
A0A1P8AZY5	AT2G24285.2
A0A1P8AZY7	AT2G07644.1
A0A1P8AZZ2	AT2G36290.2
A0A1P8AZZ4	AT2G10455.1
A0A1P8B011	AT2G07641.1
A0A1P8B012	AT2G07642.1
A0A1P8B013	AT2G07646.1
A0A1P8B017	AT2G07643.1
A0A1P8B019	AT2G07648.1
A0A1P8B041	AT2G34920.2
A0A1P8B047	AT2G14765.1
A0A1P8B048	AT2G35950.2
A0A1P8B064	AT2G25055.1
A0A1P8B096	AT2G17050.2
A0A1P8B0A1	AT2G07565.1
A0A1P8B0B7	AT2G02790.3
A0A1P8B0B8	AT2G46455.3
A0A1P8B0G0	AT2G32487.2
A0A1P8B0G6	AT2G38890.3
A0A1P8B0H2	AT2G28225.1
A0A1P8B0J4	AT2G24320.2
A0A1P8B0K8	AT2G39110.1
A0A1P8B0L2	AT2G39580.2
A0A1P8B0P5	AT2G40815.2
A0A1P8B0Q4	AT2G16980.4
A0A1P8B0Q6	AT2G34325.1
A0A1P8B0S1	AT2G35935.1
A0A1P8B0U4	AT2G21510.4
A0A1P8B0U6	AT2G19960.3
A0A1P8B0V4	AT2G18685.1
A0A1P8B0V7	AT2G06105.1
A0A1P8B0W0	AT2G20873.1
A0A1P8B0X8	AT2G14095.2
A0A1P8B104	AT2G06675.1
A0A1P8B118	AT2G03140.12
A0A1P8B135	AT2G42455.1
A0A1P8B144	AT2G14945.1
A0A1P8B158	AT2G11045.1
A0A1P8B165	AT2G29925.1
A0A1P8B169	AT2G10955.1
A0A1P8B188	AT2G42865.1
