query	subject	tmscore	seq_id	rmsd	aligned_length
A0A2I0X5D2	Q9JKK8	0.72077	0.131	3.64	275.0
A0A2P5Y5I9	P08548	0.81164	0.165	2.63	176.0
C7J4J0	Q9C533	0.71526	0.56	3.7	209.0
A0A804PYW3	Q9C8J7	0.84662	0.597	2.39	124.0
Q8GVM3	Q9FM89	0.72294	0.188	3.5	399.0
Q7XM65	Q9LXZ3	0.64837	0.189	3.59	301.0
A0A2I0WQU2	O82279	0.61938	0.475	4.74	280.0
A0A2I0WT03	Q8S3U9	0.42003	0.266	6.01	244.0
A0A7J7GEN5	Q6PWU2	0.52411	0.653	1.51	548.0
K7MRK9	B9FJG3	0.55173	0.248	3.96	206.0
K7M6T5	Q8TD19	0.78697	0.313	1.92	83.0
Q9CAA4	Q9CAA4	1.0	1.0	0.0	311.0
F4JQE2	O59082	0.27279	0.233	3.21	210.0
A0A2I0VHS9	Q86TG7	0.6466	0.169	3.72	160.0
Q9ZUJ3	P19684	0.57323	0.322	4.55	202.0
Q9C551	Q9C551	1.0	1.0	0.0	537.0
Q2QRF4	Q94A64	0.61675	0.105	4.54	353.0
A0A2I0X2V3	O00370	0.90629	0.393	1.52	122.0
F6H9K4	Q6JN46	0.68889	0.335	3.32	200.0
Q9SJI1	Q9FMX6	0.36361	0.253	4.65	158.0
K7KU14	Q6NW76	0.79903	0.53	1.83	83.0
A0A0P0W7F2	P69377	0.52255	0.196	3.36	230.0
Q9LFH4	Q6P0N0	0.17474	0.05	8.28	159.0
A0A0R0FUN5	Q41142	0.90595	0.692	2.26	442.0
Q3E7D9	Q8VZF6	0.79606	0.383	2.08	243.0
Q9M8T8	Q9M8T8	1.0	1.0	0.0	332.0
Q9SND4	Q9SND4	1.0	1.0	0.0	231.0
F4JKD9	Q800A0	0.86248	0.377	2.49	329.0
A0A2R6Q9F4	Q6C908	0.18233	0.053	8.88	227.0
A0A3Q7GNB1	Q9LID0	0.88818	0.434	1.73	122.0
Q9LV35	Q9LV35	1.0	1.0	0.0	609.0
Q9LFH7	Q8CSH9	0.31039	0.159	3.37	164.0
A0A1D6ETQ7	Q652K6	0.48517	0.489	2.93	178.0
A0A199UQE7	A2Y8U6	0.69611	0.718	3.05	241.0
Q9XIA4	Q9XIA4	1.0	1.0	0.0	547.0
Q0ZIX0	Q0ZIX0	1.0	1.0	0.0	57.0
A0A7J7GML8	Q6NMM1	0.67829	0.444	3.38	117.0
A0A7J7GH64	P57792	0.73372	0.742	2.9	248.0
A0A498KMT8	Q9C768	0.9479	0.5	1.39	444.0
A0A7J7GU17	P35912	0.96516	0.615	1.08	182.0
A0A7J7G5Y2	Q9FLS0	0.45986	0.198	4.17	323.0
Q9FNY4	Q9FNY4	1.0	1.0	0.0	529.0
O04035	O04035	1.0	1.0	0.0	281.0
Q94BT2	Q94BT2	1.0	1.0	0.0	252.0
Q56Y59	Q9SRN0	0.65363	0.152	2.11	191.0
Q9FKM1	Q9USX0	0.7225	0.225	3.93	276.0
A0A0Q3HFC1	Q4V3D9	0.91753	0.431	1.65	306.0
A0A2I0WLH6	Q9C7N2	0.9045	0.666	2.4	551.0
A0A7J7GC26	Q9Y2G4	0.37988	0.126	5.58	223.0
Q949P2	Q949P2	1.0	1.0	0.0	701.0
A0A7J7HG82	Q9Y5Z4	0.73107	0.339	1.95	177.0
Q9SST2	Q5R6G1	0.49483	0.164	3.41	128.0
Q9LVW0	Q4FZT0	0.69769	0.516	3.06	310.0
Q9ZUC1	Q9ZUC1	1.0	1.0	0.0	386.0
Q6AVP5	Q9LT31	0.91587	0.461	1.46	141.0
Q9FKM7	Q9FKM7	1.0	1.0	0.0	171.0
D7SPM8	O80796	0.44089	0.789	2.41	152.0
A0A2K2DS15	P15268	0.4297	0.127	5.84	237.0
A0A0P0W7Y1	Q9C6S7	0.93859	0.732	1.11	142.0
B4FI28	Q8L9A0	0.60091	0.728	2.2	158.0
A0A199UJE3	F4KEW8	0.35962	0.128	4.77	273.0
Q75K53	Q03211	0.58309	0.328	3.24	122.0
C6TGU6	Q9LFL3	0.39523	0.694	3.88	180.0
Q0WNB1	Q9M2H9	0.42071	0.117	3.64	128.0
A0A199W5K1	Q8L3X8	0.20093	0.577	4.5	71.0
A0A7J7G481	Q8H1H9	0.90385	0.629	1.81	124.0
A0A2K2DTZ1	O00370	0.64419	0.121	4.6	306.0
Q9M1I7	Q9M1I7	1.0	1.0	0.0	467.0
F4JK76	Q41906	0.722	0.256	2.08	90.0
W1PRB1	Q9M2U3	0.56264	0.129	2.96	101.0
F4J5I0	Q5H9R7	0.61043	0.285	4.07	533.0
A0A0R0K306	Q949P1	0.86783	0.344	1.74	183.0
A0A2I0VWT7	Q9SYJ8	0.90241	0.493	1.02	67.0
A0A199V609	Q9SR44	0.69952	0.709	3.59	199.0
A0A2P5YXS7	Q9XEC1	0.56178	0.192	3.6	146.0
O04251	O04251	1.0	1.0	0.0	1329.0
A0A804K738	Q56WM6	0.74922	0.405	3.19	173.0
A0A2K2CS41	Q6K9A2	0.71144	0.265	2.69	113.0
A0A2I0VU37	Q8S3D5	0.42986	0.575	4.45	120.0
I1HTP2	Q94CV1	0.33462	0.828	3.17	87.0
A0A2P5XQJ6	Q9T048	0.55628	0.236	5.12	627.0
A0A199UJB4	Q6DR04	0.3401	0.379	5.55	198.0
Q9FJ41	Q9FJ41	1.0	1.0	0.0	357.0
Q9LVD0	Q9LVD0	1.0	1.0	0.0	289.0
A0A498K6N9	F4J469	0.8833	0.619	1.66	118.0
Q9LK58	Q9LK58	1.0	1.0	0.0	551.0
Q501H5	Q501H5	1.0	1.0	0.0	625.0
Q1PFD1	Q1PFD1	1.0	1.0	0.0	290.0
A0A498IVE3	Q94AP0	0.91975	0.655	1.89	275.0
Q84N64	Q84N64	1.0	1.0	0.0	777.0
U5D1Q4	P87027	0.92411	0.486	1.39	107.0
F4I4P3	F4I4P3	1.0	1.0	0.0	1615.0
Q9FFS4	Q9FFS4	1.0	1.0	0.0	101.0
A0A2I0WKM3	Q38836	0.65201	0.304	1.89	79.0
Q9LTP5	Q9LTP5	1.0	1.0	0.0	174.0
A0A3Q7EBD7	Q9LZL3	0.81196	0.298	2.3	121.0
O49336	Q95LL3	0.74598	0.464	2.22	345.0
Q8W4K2	P51398	0.62483	0.209	3.03	335.0
A0A804HR53	O55234	0.55235	0.462	2.48	93.0
Q9SE96	Q9SE96	1.0	1.0	0.0	259.0
A0A2R6RS73	Q9LT02	0.81724	0.764	2.7	433.0
Q8LC79	Q8LC79	1.0	1.0	0.0	295.0
Q8L466	P38828	0.62679	0.172	3.76	157.0
A0A7J7GPD4	Q642A6	0.19797	0.076	7.12	172.0
Q94JM4	Q1LU52	0.41994	0.135	3.88	148.0
A0A7J7HKI6	Q8GYH5	0.39494	0.15	3.16	140.0
A0A2I0WN90	P08548	0.6758	0.178	4.22	704.0
Q9SRN4	Q9SRN4	1.0	1.0	0.0	117.0
F4J890	Q5T1Q4	0.80428	0.378	3.03	323.0
Q500V9	Q500V9	1.0	1.0	0.0	526.0
A0A498I7D1	Q6DR20	0.57633	0.321	2.9	112.0
E0CTB2	Q9FKE9	0.91659	0.769	1.22	108.0
A0A0N7KKE5	F4KFC7	0.34918	0.211	4.48	95.0
A0A498J953	D5EAS6	0.3806	0.188	2.49	197.0
A0A3Q7EFB6	F4K4R6	0.59671	0.198	3.14	106.0
I1NCV5	Q9SFD8	0.58321	0.712	2.73	111.0
Q9SGP4	Q9FKK2	0.63508	0.253	3.77	158.0
F4JKW9	Q6A070	0.75029	0.245	3.21	257.0
A0A804MRQ1	Q9XES1	0.8153	0.869	2.25	130.0
A0A804R5D2	Q9M896	0.56709	0.558	1.99	86.0
A0A2I0WR29	Q9LU60	0.63893	0.507	3.03	73.0
Q67UQ4	Q9SAG8	0.47052	0.395	2.87	76.0
I1N4R3	Q9FMB4	0.34253	0.345	6.88	371.0
Q949W8	Q949W8	1.0	1.0	0.0	558.0
I1KH00	Q80WT2	0.23103	0.183	5.18	82.0
A0A0R0KXT8	Q66GI4	0.43341	0.07	4.63	115.0
A0A0R0GMZ7	Q9HSF6	0.8252	0.294	1.64	85.0
A0A2I0W882	Q7JV70	0.62313	0.156	2.8	154.0
A0A199VBW9	Q9M667	0.60226	0.243	4.12	177.0
Q940V4	Q940V4	1.0	1.0	0.0	465.0
P31582	P31582	1.0	1.0	0.0	200.0
A0A443NNS0	Q9SK32	0.74606	0.355	3.17	138.0
A0A3S3MD45	Q8L727	0.47281	0.266	3.84	173.0
A0A2P5VP64	O80588	0.3316	0.245	5.5	257.0
O80763	O80763	1.0	1.0	0.0	578.0
Q8LAP6	Q8LAP6	1.0	1.0	0.0	409.0
Q9FT52	Q9FT52	1.0	1.0	0.0	168.0
Q3E9C3	Q3E9C3	1.0	1.0	0.0	472.0
A0A2I0XG73	Q9LIR8	0.68033	0.128	4.09	320.0
A0A2P5X0E1	Q8W035	0.93726	0.747	1.53	190.0
Q93VC7	Q93VC7	1.0	1.0	0.0	416.0
Q0WLC7	Q0WLC7	1.0	1.0	0.0	548.0
K7KWQ0	Q94B52	0.44316	0.597	3.38	67.0
Q9M8M1	F4I9E1	0.83153	0.305	2.9	502.0
F4JQU9	Q55A45	0.6131	0.329	2.43	82.0
Q93ZY6	Q9Y6E2	0.87377	0.332	2.4	392.0
I1MCW3	Q9LI74	0.33402	0.114	5.78	263.0
Q9S9K4	Q9S9K4	1.0	1.0	0.0	475.0
Q5PNZ0	Q5PNZ0	1.0	1.0	0.0	362.0
Q9FMG4	Q9FMG4	1.0	1.0	0.0	303.0
Q6ID29	Q04836	0.91064	0.395	1.49	86.0
F4KCX6	F4IIU4	0.64375	0.158	3.74	240.0
Q9XI22	Q5E959	0.86278	0.485	1.35	295.0
A0A0P0V123	Q5NBN9	0.76925	0.994	2.69	178.0
A0A2K2CV97	A1E9I4	0.82196	0.803	1.78	66.0
C4J970	O54836	0.20287	0.089	6.59	112.0
C6TH86	P04672	0.58765	0.708	4.96	281.0
Q0WPN7	Q0WPN7	1.0	1.0	0.0	258.0
Q8GS71	Q8GS71	1.0	1.0	0.0	1035.0
A0A2R6RDD7	G3FIN8	0.98155	0.62	1.1	466.0
A0A2R6P4X5	Q9FVS1	0.36623	0.299	2.79	288.0
A0A3Q7HFQ2	Q94B46	0.77857	0.189	3.59	408.0
A0A804HUZ9	Q9LYK2	0.95357	0.566	1.83	459.0
K7L9Z3	Q9ATF5	0.73281	0.875	1.96	72.0
Q8LF41	Q8LF41	1.0	1.0	0.0	301.0
A0A2R6RPB5	J4UHQ8	0.46675	0.218	2.43	87.0
A0A6I9U502	P83326	0.73752	0.366	2.06	153.0
A0A0Q3NS93	Q94A64	0.71441	0.123	4.06	325.0
A0A2I0VGT7	Q9ZVI7	0.58971	0.495	2.93	107.0
A5APN4	Q9STG2	0.79156	0.25	2.37	120.0
F4KCC2	F4KCC2	1.0	1.0	0.0	2006.0
U5CYE5	Q9LJR7	0.91002	0.545	1.58	112.0
A0A7J7GX00	Q9SIR9	0.83542	0.442	1.47	77.0
A0A498ICB7	Q10103	0.20351	0.08	7.77	162.0
A0A2I0W3H0	Q9HSF6	0.69907	0.225	1.56	129.0
F4JT13	B8M9K5	0.75028	0.173	3.09	307.0
K7M6D6	O42877	0.86172	0.385	1.7	109.0
A0A7J7H9K4	Q9VXG1	0.12598	0.053	9.65	244.0
A0A0P0Y5A2	Q9FIJ6	0.85464	0.389	1.46	185.0
A0A6I9TWK3	Q9FKK2	0.36381	0.413	4.48	150.0
A0A2P5XKH5	Q5F3V3	0.82273	0.232	4.06	833.0
A0A3S3MQV2	Q9FJ95	0.47806	0.832	0.83	352.0
P82872	P82872	1.0	1.0	0.0	188.0
A0A498IME4	Q1S9I9	0.69759	0.99	1.45	103.0
K7MIQ1	Q9M0X5	0.43182	0.33	5.33	348.0
Q9LRP1	Q9LRP1	1.0	1.0	0.0	269.0
Q9C5X8	Q9C5X8	1.0	1.0	0.0	819.0
A0A0N7KQQ4	Q1PEZ8	0.64466	0.162	3.44	173.0
Q5Z4Z5	F4JL28	0.19168	0.147	2.88	136.0
A0A7J7GVT0	Q9FI13	0.45088	0.407	2.58	91.0
A0A3S3NJ82	Q9S746	0.92984	0.573	1.32	131.0
A0A2K2CIR9	O81905	0.79447	0.414	4.84	794.0
A0A2R6PK55	Q40541	0.43233	0.781	4.32	329.0
A0A3S3N5Q4	E9Q5C9	0.20736	0.338	5.79	136.0
A0A2R6Q6X9	Q9LP46	0.29128	0.314	7.34	404.0
A0A2P5XT35	Q9ZUS1	0.83884	0.547	2.54	311.0
A0A7J7I221	Q9LDV4	0.71392	0.6	3.35	200.0
I1JUG0	Q9SD53	0.88113	0.27	2.91	404.0
Q9C502	Q9ZVN6	0.70354	0.248	3.52	302.0
Q6IDS6	Q6IDS6	1.0	1.0	0.0	323.0
Q8H0Y8	Q8H0Y8	1.0	1.0	0.0	313.0
F6HI12	Q21029	0.30984	0.024	6.57	169.0
F4J5D3	Q6DRJ4	0.40174	0.144	7.36	382.0
Q9M2U4	Q9M2U4	1.0	1.0	0.0	183.0
Q9SRZ6	Q9SRZ6	1.0	1.0	0.0	410.0
A0A7J7FV33	Q8W4H1	0.36933	0.82	2.76	61.0
Q9SSD6	A7S6Y0	0.92501	0.389	1.31	149.0
Q9XI00	Q9XI00	1.0	1.0	0.0	328.0
Q8RW93	P14009	0.5592	0.537	2.33	82.0
Q4PS45	Q0VD59	0.24938	0.09	5.22	100.0
Q9ZUA2	Q9ZUA2	1.0	1.0	0.0	559.0
K7M868	Q10LQ2	0.73032	0.566	1.71	76.0
B4FRS4	Q9LJ85	0.42449	0.357	3.22	112.0
A0A7J7G0E1	Q9FFJ8	0.63067	0.257	2.97	109.0
A0A2P5Y2X9	Q8NDD1	0.30455	0.059	4.76	85.0
A0A199V4V4	B6TGN4	0.68324	0.187	3.82	316.0
A0A498HV92	Q38813	0.37814	0.402	4.05	117.0
A0A804K051	C0LGT5	0.50468	0.332	4.7	196.0
A0A3Q7IX75	Q8S8Y3	0.97422	0.888	0.58	89.0
A0A199VWY2	Q8W486	0.70294	0.758	2.23	161.0
Q9SGS2	Q9SGS2	1.0	1.0	0.0	338.0
Q9LYE1	Q86WR0	0.91702	0.609	1.48	207.0
A0A2R6PI62	Q40469	0.98597	0.974	0.5	190.0
F4JCB3	Q92372	0.19473	0.061	5.95	165.0
A0A199UWU6	Q9LWR2	0.95776	0.736	0.78	125.0
A0A2I0VMP1	P21329	0.7953	0.215	3.06	325.0
I1JQ77	Q9SJ52	0.82661	0.391	3.02	202.0
A0A6I9UFM3	O82279	0.57461	0.597	5.25	268.0
F4JN30	Q5T5C0	0.58682	0.145	6.22	767.0
A0A2I0W1C6	P0DKL0	0.35328	0.171	5.11	129.0
K7MY91	Q8L4E7	0.1125	0.165	6.25	115.0
A0A2I0VMW7	F4I9Q5	0.25193	0.262	6.82	252.0
A0A3Q7FNT5	Q8TBB5	0.82781	0.435	2.67	271.0
P82764	P82764	1.0	1.0	0.0	80.0
Q6DBP3	Q6DBP3	1.0	1.0	0.0	309.0
A0A804PD56	Q9FMU5	0.66445	0.5	2.07	72.0
A0A2R6S1W8	Q10P01	0.92241	0.598	1.43	107.0
Q9FFJ5	Q5I0I2	0.29393	0.073	5.12	96.0
A0A3Q7GVX6	Q84YJ9	0.84791	0.545	2.96	345.0
D7TGP4	Q8L5U0	0.85325	0.81	1.86	158.0
P48491	P48491	1.0	1.0	0.0	254.0
K7M1V2	Q9FME8	0.88358	0.623	2.77	329.0
A0A2P5VR33	Q9FNP8	0.9689	0.843	0.64	83.0
A0A498JQB6	P10978	0.3092	0.345	5.45	322.0
Q9FLR5	Q9FLR5	1.0	1.0	0.0	1058.0
A0A804R2V9	Q8S9J8	0.58628	0.596	3.45	166.0
A0A2P5YTJ8	Q9SJR0	0.57077	0.56	3.86	141.0
Q9SHI3	Q9SHI3	1.0	1.0	0.0	729.0
Q9LPS7	Q9SKR2	0.3338	0.182	3.17	143.0
K7LC93	Q94BY4	0.96535	0.822	0.91	146.0
Q69SM9	Q3UHI0	0.11376	0.07	8.98	157.0
Q9FWS6	Q9FWS6	1.0	1.0	0.0	325.0
Q8GY84	Q8GY84	1.0	1.0	0.0	456.0
Q67UP5	Q27274	0.59947	0.09	4.86	469.0
A0A2R6PV18	Q9SFC7	0.79475	0.252	3.05	345.0
Q0WM29	Q0WM29	1.0	1.0	0.0	607.0
Q39238	Q39238	1.0	1.0	0.0	688.0
B3H5W4	A0A1S3THR8	0.40257	0.11	4.19	146.0
A0A7J7I1K7	F4JIU4	0.46352	0.506	3.5	81.0
A0A2R6PDR6	B9DFU2	0.92703	0.626	1.73	203.0
P0C7R1	P0C7R1	1.0	1.0	0.0	239.0
A0A804IJL4	P49689	0.90021	0.919	1.11	62.0
A0A3S3NH87	Q9SRK7	0.79944	0.712	2.97	226.0
Q9SG17	Q9JK81	0.91271	0.466	1.78	339.0
Q9SB00	Q9SB00	1.0	1.0	0.0	496.0
A0A7J7H5B4	O22213	0.92786	0.717	1.31	233.0
A0A804JQI2	O22611	0.2898	0.5	3.57	48.0
A0A199VHV6	Q8GYN5	0.41469	0.577	4.35	97.0
Q94AN2	Q94AN2	1.0	1.0	0.0	700.0
I1MFB4	A2BIJ3	0.28351	0.233	4.99	163.0
P49690	P49690	1.0	1.0	0.0	140.0
O49565	Q9FK54	0.73892	0.362	2.89	345.0
O80775	O80775	1.0	1.0	0.0	353.0
Q9FM04	Q9FM04	1.0	1.0	0.0	242.0
B4FIQ4	P40267	0.30855	0.228	3.26	92.0
A0A1D6HPN5	Q9M8T7	0.36709	0.173	2.86	81.0
I1K6A2	A2RSY1	0.89064	0.318	1.33	110.0
P11832	P11832	1.0	1.0	0.0	917.0
A0A498JQP0	Q9ZSZ8	0.26771	0.625	4.37	112.0
A0A804UC01	Q8H0F2	0.86418	0.335	2.63	462.0
A0A199V8E1	Q9SHJ3	0.8844	0.637	2.0	113.0
Q9FGK0	Q9FGK0	1.0	1.0	0.0	125.0
Q0D8L5	F4IIU4	0.75749	0.634	4.29	363.0
U5CXV9	P10394	0.61517	0.341	3.21	258.0
A0A2I0X7I7	Q7XBQ9	0.51832	0.316	3.16	215.0
A0A443Q588	F4JTJ9	0.31116	0.14	4.93	235.0
A0A7J7HLK5	P59584	0.93157	0.33	1.18	112.0
A0A0Q3I578	Q13472	0.41035	0.064	4.2	78.0
A0A2I0V9P7	Q8L6H7	0.97682	0.789	0.95	242.0
W1PVQ0	Q9FZK1	0.42721	0.049	4.79	143.0
P49693	P49693	1.0	1.0	0.0	208.0
A0A3S3QNC6	P19873	0.33836	0.559	0.78	68.0
A0A7J7FZE4	Q9XI33	0.18716	0.465	4.04	71.0
Q9SDS8	Q9SDS8	1.0	1.0	0.0	212.0
F4J2C8	F4J2C8	1.0	1.0	0.0	656.0
A0A443NAV4	Q9C7A2	0.41913	0.201	3.61	303.0
Q9SLT8	Q02040	0.58152	0.183	4.26	240.0
A0A7J7I0J0	Q0JB89	0.79995	0.719	1.49	64.0
Q9FNQ1	Q9FNQ1	1.0	1.0	0.0	2157.0
Q9C503	Q9C503	1.0	1.0	0.0	354.0
Q8GXU4	G5EEI8	0.60913	0.242	2.38	62.0
A0A2P5X2J8	Q8K259	0.3657	0.2	4.1	70.0
A0A498IWE9	Q9LN01	0.90459	0.326	1.38	135.0
A0A6I9US15	Q94IK2	0.43823	0.226	4.57	124.0
Q10PZ3	P93751	0.24459	0.327	5.81	107.0
W1NWT9	Q9FMF6	0.89748	0.316	2.45	313.0
Q9SKB2	Q9SKB2	1.0	1.0	0.0	641.0
A0A804JH84	O80497	0.86115	0.61	1.35	105.0
Q0DVT9	O65454	0.52475	0.13	5.94	331.0
U5CW47	Q9FMF6	0.71085	0.262	3.69	298.0
W1P3R2	M4HXW5	0.93984	0.32	1.35	181.0
I1HWK6	Q00531	0.4851	0.141	4.37	255.0
A0A0Q3E560	P24548	0.98529	0.546	1.12	348.0
W1NY36	O94410	0.75506	0.205	1.63	122.0
A0A7J7GLN0	F4HTM3	0.84139	0.454	2.51	271.0
A0A0P0XBZ2	Q9FNJ1	0.80267	0.315	1.67	111.0
A0A3Q7EIQ3	Q9ZRT1	0.31027	0.098	4.7	255.0
Q501E0	F4I9E1	0.86407	0.263	2.79	487.0
Q10QW3	Q10QW3	1.0	1.0	0.0	187.0
A0A804NA37	O04133	0.6119	0.385	2.92	78.0
A0A498JJV8	Q9FXA7	0.72606	0.552	3.45	163.0
Q9SRU3	P47823	0.83293	0.28	3.76	640.0
Q94AU5	Q54ZG7	0.80718	0.363	1.97	124.0
A0A498HQI3	P46248	0.4427	0.647	2.84	68.0
Q7Y228	Q7Y228	1.0	1.0	0.0	681.0
A0A804QPH4	P0C0S7	0.21295	0.837	1.81	98.0
C0PIM9	Q6ZJM9	0.3148	0.519	5.27	212.0
Q9M1V4	Q9M1V4	1.0	1.0	0.0	85.0
Q8GYA3	Q8GYB8	0.99042	0.731	0.8	324.0
A0A0P0VE50	Q9FM84	0.9093	0.598	1.04	107.0
F4K2K3	F4K2K3	1.0	1.0	0.0	1375.0
Q84JG2	Q84JG2	1.0	1.0	0.0	469.0
Q1JPM5	Q1JPM5	1.0	1.0	0.0	507.0
K7MIJ2	Q4PSI6	0.78579	0.185	3.63	340.0
Q8RXE8	Q8RXE8	1.0	1.0	0.0	431.0
Q9SIZ5	Q8VYI2	0.17478	0.444	3.53	81.0
F4HTE0	Q54I81	0.7579	0.47	1.64	302.0
A0A498IQG4	Q9SA68	0.48196	0.686	0.85	102.0
A0A498IX97	A8AB58	0.49358	0.166	2.93	205.0
Q682J5	A9B3R2	0.55384	0.201	3.65	214.0
Q84JK1	B4NFY1	0.17809	0.216	3.98	111.0
A0A3Q7H1M4	Q9ZW34	0.92038	0.851	1.68	175.0
K7L4P0	Q5I0D7	0.75822	0.59	1.5	100.0
Q94BN1	Q8N9R8	0.80852	0.34	2.7	517.0
Q94CP9	Q9ZNU2	0.65062	0.266	3.0	158.0
Q9M305	B1KUN4	0.18495	0.124	7.26	437.0
A0A7J7HJL2	Q6AWW5	0.37265	0.153	5.08	216.0
Q9FJY5	Q810V0	0.50075	0.329	4.55	313.0
I1JX20	Q942X4	0.28668	0.338	3.88	77.0
A0A3Q7I4Z1	Q9M2N5	0.47398	0.344	3.94	157.0
A0A0P0V550	Q4FZU4	0.4214	0.296	3.05	71.0
A0A0N7KTL1	Q9NQF3	0.52361	0.129	2.72	101.0
A0A7J7GRN4	Q9LRJ9	0.73955	0.31	2.43	232.0
B9DGA1	Q9FEG2	0.5678	0.257	3.95	249.0
Q94B71	Q94B71	1.0	1.0	0.0	733.0
